     816559.9930    4592356.0500         41.4204
     816217.5500    4594023.2300         41.4355
     815444.1530    4595437.7800         41.4485
     816181.6530    4596909.2100         41.4615
     817713.6070    4598024.7200         41.4709
     764263.2550    4554224.4300         41.0963
     765233.0400    4555127.7000         41.1042
     766554.5580    4554754.9200         41.1004
     761340.4780    4553973.1200         41.0950
     762864.5490    4554839.8100         41.1023
     760293.3840    4552821.6400         41.0850
     768048.5960    4554961.7700         41.1017
     769581.4720    4555299.9900         41.1043
     771109.8370    4555620.2700         41.1066
     772643.4820    4555947.7500         41.1091
     774174.3350    4556282.2800         41.1116
     775691.1730    4556653.2800         41.1144
     777172.5960    4557104.3900         41.1179
     778605.6460    4557650.8300         41.1224
     779984.8050    4558262.7900         41.1274
     781372.1510    4558848.9300         41.1322
     782705.1550    4559269.7600         41.1355
     783865.8440    4559539.5000         41.1375
     784430.8860    4560285.1000         41.1440
     784988.5030    4561017.5700         41.1504
     785900.4840    4560702.2300         41.1473
     786890.6750    4560822.0600         41.1480
     787877.3440    4560963.5300         41.1489
     788845.0430    4561197.9300         41.1507
     789656.9510    4561689.5700         41.1548
     789805.3690    4562551.1600         41.1625
     790418.2300    4562986.8200         41.1662
     791321.1410    4563677.6600         41.1721
     792563.7170    4564480.6800         41.1789
     793832.3550    4565062.6600         41.1836
     795132.6860    4565814.1400         41.1899
     796419.9180    4566550.0900         41.1961
     797794.9220    4567265.5300         41.2020
     799184.0770    4568004.7600         41.2081
     800614.6750    4568740.0300         41.2142
     802069.1550    4569477.8800         41.2203
     803539.1370    4570203.9100         41.2263
     805023.5970    4570938.7200         41.2323
     806520.7200    4571675.2900         41.2384
     808027.9980    4572414.2200         41.2445
     809543.1960    4573160.4600         41.2506
     811056.1680    4573933.6600         41.2570
     812455.6020    4574816.2900         41.2644
     813716.1320    4575755.8100         41.2723
     814409.9740    4577166.3200         41.2847
     815243.3170    4578632.7600         41.2976
     815902.5260    4580219.7300         41.3116
     816263.5780    4582035.2400         41.3278
