       1        1   1.0000   2.3000  28.0000
       2        2   1.0000   2.3000  28.0000
       3        3   1.0000   2.3000  28.0000
       4        4   1.0000   2.3000  28.0000
       5        5   1.0000   2.3000  28.0000
       6        6   1.0000   2.3000  28.0000
       7        7   1.0000   2.3000  28.0000
       8        8   1.0000   2.3000  28.0000
       9        9   1.0000   2.3000  28.0000
      10       10   1.0000   2.3000  28.0000
      11       11   1.0000   2.3000  28.0000
      12       12   1.0000   2.3000  28.0000
      13       13   1.0000   2.3000  28.0000
      14       14   1.0000   2.3000  28.0000
      15       15   1.0000   2.3000  28.0000
      16       16   1.0000   2.3000  28.0000
      17       17   1.0000   2.3000  28.0000
      18       18   1.0000   2.3000  28.0000
      19       19   1.0000   2.3000  28.0000
      20       20   1.0000   2.3000  28.0000
      21       21   1.0000   2.3000  28.0000
      22       22   1.0000   2.3000  28.0000
      23       23   1.0000   2.3000  28.0000
      24       24   1.0000   2.3000  28.0000
      25       25   1.0000   2.3000  28.0000
      26       26   1.0000   2.3000  28.0000
      27       27   1.0000   2.3000  28.0000
      28       28   1.0000   2.3000  28.0000
      29       29   1.0000   2.3000  28.0000
      30       30   1.0000   2.3000  28.0000
      31       31   1.0000   2.3000  28.0000
      32       32   1.0000   2.3000  28.0000
      33       33   1.0000   2.3000  28.0000
      34       34   1.0000   2.3000  28.0000
      35       35   1.0000   2.3000  28.0000
      36       36   1.0000   2.3000  28.0000
      37       37   1.0000   2.3000  28.0000
      38       38   1.0000   2.3000  28.0000
      39       39   1.0000   2.3000  28.0000
      40       40   1.0000   2.3000  28.0000
      41       41   1.0000   2.3000  28.0000
      42       42   1.0000   2.3000  28.0000
      43       43   1.0000   2.3000  28.0000
      44       44   1.0000   2.3000  28.0000
      45       45   1.0000   2.3000  28.0000
      46       46   1.0000   2.3000  28.0000
      47       47   1.0000   2.3000  28.0000
